event_id,configuration_id,generator,report_text,report_characters,report_words
UNSW-OFFICIAL-1645,A0_template,deterministic_template,"Prediction Summary
The detector predicted DoS with confidence 0.2897.

Evidence
- Protocol is not udp; SHAP=0.025444; supports predicted class.
- sbytes = 180; SHAP=0.020385; supports predicted class.
- ct_dst_sport_ltm = 10; SHAP=0.011988; supports predicted class.
- smean = 90; SHAP=0.011698; supports predicted class.
- ct_src_ltm = 10; SHAP=-0.010283; opposes predicted class.

Risk and Policy
The predicted operational stage is Impact / Availability. The confidence-weighted risk score is 2.0282, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",818,115
UNSW-OFFICIAL-1779,A0_template,deterministic_template,"Prediction Summary
The detector predicted Fuzzers with confidence 0.9094.

Evidence
- sloss = 3; SHAP=0.070818; supports predicted class.
- spkts = 12; SHAP=0.066586; supports predicted class.
- dbytes = 822; SHAP=0.063493; supports predicted class.
- sbytes = 1046; SHAP=0.060234; supports predicted class.
- dmean = 82; SHAP=0.055128; supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 5.9111, corresponding to the Block policy zone.

Recommended Action
Block the suspected source and initiate investigation.

Human Review
No mandatory confidence-based referral.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",785,107
UNSW-OFFICIAL-1860,A0_template,deterministic_template,"Prediction Summary
The detector predicted Backdoor with confidence 0.2684.

Evidence
- Protocol is not udp; SHAP=0.022765; supports predicted class.
- sbytes = 200; SHAP=0.015549; supports predicted class.
- ct_dst_sport_ltm = 2; SHAP=0.010563; supports predicted class.
- smean = 100; SHAP=0.007614; supports predicted class.
- ct_dst_src_ltm = 4; SHAP=0.007161; supports predicted class.

Risk and Policy
The predicted operational stage is Command and Control. The confidence-weighted risk score is 2.1474, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",824,115
UNSW-OFFICIAL-2180,A0_template,deterministic_template,"Prediction Summary
The detector predicted Fuzzers with confidence 0.5810.

Evidence
- smean = 52; SHAP=0.035399; supports predicted class.
- sbytes = 518; SHAP=0.031295; supports predicted class.
- dpkts = 6; SHAP=0.031254; supports predicted class.
- dmean = 45; SHAP=0.030894; supports predicted class.
- dbytes = 268; SHAP=0.028907; supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 3.7768, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",789,112
UNSW-OFFICIAL-2362,A0_template,deterministic_template,"Prediction Summary
The detector predicted Backdoor with confidence 0.2942.

Evidence
- Protocol is not udp; SHAP=0.023358; supports predicted class.
- sbytes = 200; SHAP=0.016420; supports predicted class.
- ct_dst_sport_ltm = 3; SHAP=0.013386; supports predicted class.
- ct_dst_src_ltm = 5; SHAP=0.010251; supports predicted class.
- ct_srv_src = 5; SHAP=0.008642; supports predicted class.

Risk and Policy
The predicted operational stage is Command and Control. The confidence-weighted risk score is 2.3535, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",827,115
UNSW-OFFICIAL-2491,A0_template,deterministic_template,"Prediction Summary
The detector predicted Backdoor with confidence 0.3473.

Evidence
- Protocol is not udp; SHAP=0.035764; supports predicted class.
- Protocol = any; SHAP=0.026722; supports predicted class.
- sbytes = 200; SHAP=0.019626; supports predicted class.
- ct_srv_dst = 6; SHAP=0.016017; supports predicted class.
- ct_dst_src_ltm = 6; SHAP=0.015918; supports predicted class.

Risk and Policy
The predicted operational stage is Command and Control. The confidence-weighted risk score is 2.7781, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",821,115
UNSW-OFFICIAL-2673,A0_template,deterministic_template,"Prediction Summary
The detector predicted Normal with confidence 0.8249.

Evidence
- sbytes = 1064; SHAP=0.087794; supports predicted class.
- ct_srv_src = 36; SHAP=0.084738; supports predicted class.
- ct_srv_dst = 36; SHAP=0.079077; supports predicted class.
- ct_dst_src_ltm = 36; SHAP=0.077483; supports predicted class.
- smean = 532; SHAP=0.060249; supports predicted class.

Risk and Policy
The predicted operational stage is Normal. The confidence-weighted risk score is 0.0000, corresponding to the Monitor policy zone.

Recommended Action
Log the event and continue monitoring.

Human Review
No mandatory confidence-based referral.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",783,106
UNSW-OFFICIAL-2751,A0_template,deterministic_template,"Prediction Summary
The detector predicted Reconnaissance with confidence 0.3652.

Evidence
- An application service is identified; SHAP=0.032781; supports predicted class.
- sbytes = 470; SHAP=0.024343; supports predicted class.
- Service = http; SHAP=0.023715; supports predicted class.
- ct_dst_src_ltm = 1; SHAP=0.014210; supports predicted class.
- sttl = 254; SHAP=0.013844; supports predicted class.

Risk and Policy
The predicted operational stage is Reconnaissance. The confidence-weighted risk score is 1.0957, corresponding to the Monitor policy zone.

Recommended Action
Log the event and continue monitoring.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",828,111
UNSW-OFFICIAL-2840,A0_template,deterministic_template,"Prediction Summary
The detector predicted DoS with confidence 0.3078.

Evidence
- Protocol is not udp; SHAP=0.023256; supports predicted class.
- spkts = 4; SHAP=0.012884; supports predicted class.
- sbytes = 360; SHAP=0.012552; supports predicted class.
- dur = 1.00765; SHAP=0.011982; supports predicted class.
- rate = 2.97722; SHAP=0.011365; supports predicted class.

Risk and Policy
The predicted operational stage is Impact / Availability. The confidence-weighted risk score is 2.1546, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",808,115
UNSW-OFFICIAL-2842,A0_template,deterministic_template,"Prediction Summary
The detector predicted DoS with confidence 0.3078.

Evidence
- Protocol is not udp; SHAP=0.023256; supports predicted class.
- spkts = 4; SHAP=0.012884; supports predicted class.
- sbytes = 360; SHAP=0.012552; supports predicted class.
- dur = 1.00765; SHAP=0.011982; supports predicted class.
- rate = 2.97722; SHAP=0.011365; supports predicted class.

Risk and Policy
The predicted operational stage is Impact / Availability. The confidence-weighted risk score is 2.1546, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",808,115
UNSW-OFFICIAL-2854,A0_template,deterministic_template,"Prediction Summary
The detector predicted Generic with confidence 0.3215.

Evidence
- sbytes = 92; SHAP=0.063563; supports predicted class.
- ct_src_ltm = 19; SHAP=0.056839; supports predicted class.
- smean = 46; SHAP=0.032682; supports predicted class.
- Service is not dns; SHAP=-0.027845; opposes predicted class.
- sload = 7.36e+07; SHAP=0.026977; supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 2.0898, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",806,113
UNSW-OFFICIAL-2866,A0_template,deterministic_template,"Prediction Summary
The detector predicted Backdoor with confidence 0.3181.

Evidence
- Protocol is not udp; SHAP=0.021064; supports predicted class.
- sbytes = 200; SHAP=0.016082; supports predicted class.
- ct_dst_sport_ltm = 3; SHAP=0.015327; supports predicted class.
- ct_src_dport_ltm = 3; SHAP=0.012274; supports predicted class.
- ct_dst_src_ltm = 4; SHAP=0.009562; supports predicted class.

Risk and Policy
The predicted operational stage is Command and Control. The confidence-weighted risk score is 2.5451, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",833,115
UNSW-OFFICIAL-2899,A0_template,deterministic_template,"Prediction Summary
The detector predicted Reconnaissance with confidence 0.3208.

Evidence
- smean = 54; SHAP=-0.038280; opposes predicted class.
- dmean = 44; SHAP=0.027903; supports predicted class.
- sbytes = 542; SHAP=-0.025288; opposes predicted class.
- ct_dst_src_ltm = 1; SHAP=0.022325; supports predicted class.
- dbytes = 354; SHAP=0.021978; supports predicted class.

Risk and Policy
The predicted operational stage is Reconnaissance. The confidence-weighted risk score is 0.9625, corresponding to the Monitor policy zone.

Recommended Action
Log the event and continue monitoring.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",800,109
UNSW-OFFICIAL-2905,A0_template,deterministic_template,"Prediction Summary
The detector predicted Backdoor with confidence 0.4604.

Evidence
- ct_src_ltm = 11; SHAP=0.072963; supports predicted class.
- Protocol is not udp; SHAP=0.026055; supports predicted class.
- ct_dst_sport_ltm = 2; SHAP=0.025786; supports predicted class.
- sbytes = 200; SHAP=0.022590; supports predicted class.
- ct_srv_dst = 5; SHAP=0.018783; supports predicted class.

Risk and Policy
The predicted operational stage is Command and Control. The confidence-weighted risk score is 3.6833, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",824,115
UNSW-OFFICIAL-2942,A0_template,deterministic_template,"Prediction Summary
The detector predicted DoS with confidence 0.2751.

Evidence
- Protocol is not udp; SHAP=0.021611; supports predicted class.
- sbytes = 200; SHAP=0.017289; supports predicted class.
- ct_dst_sport_ltm = 2; SHAP=0.010038; supports predicted class.
- smean = 100; SHAP=0.009639; supports predicted class.
- ct_dst_src_ltm = 3; SHAP=0.007137; supports predicted class.

Risk and Policy
The predicted operational stage is Impact / Availability. The confidence-weighted risk score is 1.9258, corresponding to the Monitor policy zone.

Recommended Action
Log the event and continue monitoring.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",814,112
UNSW-OFFICIAL-3205,A0_template,deterministic_template,"Prediction Summary
The detector predicted Backdoor with confidence 0.2774.

Evidence
- Protocol is not udp; SHAP=0.033544; supports predicted class.
- sbytes = 200; SHAP=0.017501; supports predicted class.
- ct_dst_src_ltm = 5; SHAP=0.012442; supports predicted class.
- ct_srv_dst = 5; SHAP=0.010376; supports predicted class.
- ct_srv_src = 5; SHAP=0.008903; supports predicted class.

Risk and Policy
The predicted operational stage is Command and Control. The confidence-weighted risk score is 2.2188, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",821,115
UNSW-OFFICIAL-3580,A0_template,deterministic_template,"Prediction Summary
The detector predicted Exploits with confidence 0.4123.

Evidence
- ackdat = 0.008034; SHAP=0.033817; supports predicted class.
- tcprtt = 0.027466; SHAP=0.029046; supports predicted class.
- sinpkt = 17.6971; SHAP=0.028577; supports predicted class.
- dinpkt = 28.609; SHAP=0.026692; supports predicted class.
- dur = 0.162486; SHAP=0.024992; supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 2.6802, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",816,112
UNSW-OFFICIAL-3606,A0_template,deterministic_template,"Prediction Summary
The detector predicted Shellcode with confidence 0.2867.

Evidence
- ct_dst_src_ltm = 1; SHAP=0.057378; supports predicted class.
- sbytes = 982; SHAP=0.024227; supports predicted class.
- Service = unspecified; SHAP=0.020269; supports predicted class.
- smean = 98; SHAP=0.020171; supports predicted class.
- ct_srv_dst = 6; SHAP=-0.018790; opposes predicted class.

Risk and Policy
The predicted operational stage is Advanced Intrusion. The confidence-weighted risk score is 2.4368, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",819,113
UNSW-OFFICIAL-3778,A0_template,deterministic_template,"Prediction Summary
The detector predicted Analysis with confidence 0.3791.

Evidence
- Protocol is not udp; SHAP=0.032383; supports predicted class.
- ct_dst_src_ltm = 3; SHAP=0.024647; supports predicted class.
- Protocol = unas; SHAP=0.024316; supports predicted class.
- sbytes = 200; SHAP=0.019345; supports predicted class.
- ct_srv_dst = 3; SHAP=0.016395; supports predicted class.

Risk and Policy
The predicted operational stage is Reconnaissance. The confidence-weighted risk score is 1.1374, corresponding to the Monitor policy zone.

Recommended Action
Log the event and continue monitoring.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",810,110
UNSW-OFFICIAL-3979,A0_template,deterministic_template,"Prediction Summary
The detector predicted Reconnaissance with confidence 0.9517.

Evidence
- sbytes = 168; SHAP=0.185328; supports predicted class.
- smean = 84; SHAP=0.161849; supports predicted class.
- Protocol = udp; SHAP=0.096370; supports predicted class.
- sload = 8.4e+07; SHAP=0.049026; supports predicted class.
- ct_dst_src_ltm = 1; SHAP=0.028072; supports predicted class.

Risk and Policy
The predicted operational stage is Reconnaissance. The confidence-weighted risk score is 2.8552, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
No mandatory confidence-based referral.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",802,109
UNSW-OFFICIAL-4165,A0_template,deterministic_template,"Prediction Summary
The detector predicted Backdoor with confidence 0.4697.

Evidence
- ct_src_ltm = 12; SHAP=0.059324; supports predicted class.
- Protocol is not udp; SHAP=0.026405; supports predicted class.
- sbytes = 200; SHAP=0.022035; supports predicted class.
- ct_dst_sport_ltm = 2; SHAP=0.021109; supports predicted class.
- ct_srv_dst = 5; SHAP=0.019401; supports predicted class.

Risk and Policy
The predicted operational stage is Command and Control. The confidence-weighted risk score is 3.7576, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",824,115
UNSW-OFFICIAL-4195,A0_template,deterministic_template,"Prediction Summary
The detector predicted Backdoor with confidence 0.5218.

Evidence
- ct_src_ltm = 10; SHAP=0.083918; supports predicted class.
- Protocol is not udp; SHAP=0.029177; supports predicted class.
- ct_dst_sport_ltm = 2; SHAP=0.026149; supports predicted class.
- sbytes = 200; SHAP=0.022997; supports predicted class.
- ct_dst_src_ltm = 5; SHAP=0.021030; supports predicted class.

Risk and Policy
The predicted operational stage is Command and Control. The confidence-weighted risk score is 4.1745, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",828,115
UNSW-OFFICIAL-4263,A0_template,deterministic_template,"Prediction Summary
The detector predicted Worms with confidence 0.3400.

Evidence
- smean = 1025; SHAP=0.068827; supports predicted class.
- sbytes = 2050; SHAP=0.053061; supports predicted class.
- Protocol = udp; SHAP=0.023004; supports predicted class.
- ct_dst_ltm = 1; SHAP=-0.020963; opposes predicted class.
- sload = 1.36667e+09; SHAP=0.019142; supports predicted class.

Risk and Policy
The predicted operational stage is Advanced Intrusion. The confidence-weighted risk score is 2.8900, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",812,113
UNSW-OFFICIAL-4309,A0_template,deterministic_template,"Prediction Summary
The detector predicted Backdoor with confidence 0.3473.

Evidence
- Protocol is not udp; SHAP=0.035764; supports predicted class.
- Protocol = any; SHAP=0.026722; supports predicted class.
- sbytes = 200; SHAP=0.019626; supports predicted class.
- ct_srv_dst = 6; SHAP=0.016017; supports predicted class.
- ct_dst_src_ltm = 6; SHAP=0.015918; supports predicted class.

Risk and Policy
The predicted operational stage is Command and Control. The confidence-weighted risk score is 2.7781, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",821,115
UNSW-OFFICIAL-4395,A0_template,deterministic_template,"Prediction Summary
The detector predicted Exploits with confidence 0.7486.

Evidence
- sbytes = 1970; SHAP=0.054505; supports predicted class.
- An application service is identified; SHAP=0.045858; supports predicted class.
- smean = 141; SHAP=0.042716; supports predicted class.
- dmean = 66; SHAP=0.038185; supports predicted class.
- dloss = 4; SHAP=0.037461; supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 4.8657, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
No mandatory confidence-based referral.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",804,111
UNSW-OFFICIAL-4466,A0_template,deterministic_template,"Prediction Summary
The detector predicted Backdoor with confidence 0.3974.

Evidence
- ct_src_ltm = 19; SHAP=0.029359; supports predicted class.
- Protocol = wb-expak; SHAP=0.025115; supports predicted class.
- Protocol is not udp; SHAP=0.024862; supports predicted class.
- sbytes = 200; SHAP=0.019687; supports predicted class.
- ct_dst_sport_ltm = 2; SHAP=0.016185; supports predicted class.

Risk and Policy
The predicted operational stage is Command and Control. The confidence-weighted risk score is 3.1788, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",829,115
UNSW-OFFICIAL-4496,A0_template,deterministic_template,"Prediction Summary
The detector predicted Backdoor with confidence 0.3192.

Evidence
- Protocol is not udp; SHAP=0.031649; supports predicted class.
- sbytes = 200; SHAP=0.019213; supports predicted class.
- Protocol = nsfnet-igp; SHAP=0.018855; supports predicted class.
- ct_dst_src_ltm = 4; SHAP=0.015678; supports predicted class.
- ct_srv_dst = 4; SHAP=0.011458; supports predicted class.

Risk and Policy
The predicted operational stage is Command and Control. The confidence-weighted risk score is 2.5540, corresponding to the Alert policy zone.

Recommended Action
Raise a SOC alert and enrich the event context.

Human Review
Detector confidence below the fixed 0.70 threshold.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",828,115
UNSW-OFFICIAL-4719,A0_template,deterministic_template,"Prediction Summary
The detector predicted Exploits with confidence 0.7878.

Evidence
- sbytes = 11680; SHAP=0.060612; supports predicted class.
- smean = 730; SHAP=0.043851; supports predicted class.
- dmean = 162; SHAP=0.039461; supports predicted class.
- sload = 246992; SHAP=0.036728; supports predicted class.
- dloss = 2; SHAP=0.029203; supports predicted class.

Risk and Policy
The predicted operational stage is Exploitation. The confidence-weighted risk score is 5.1207, corresponding to the Block policy zone.

Recommended Action
Block the suspected source and initiate investigation.

Human Review
No mandatory confidence-based referral.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",791,107
UNSW-OFFICIAL-4748,A0_template,deterministic_template,"Prediction Summary
The detector predicted Shellcode with confidence 0.9653.

Evidence
- Protocol = udp; SHAP=0.117500; supports predicted class.
- smean = 172; SHAP=0.109636; supports predicted class.
- sbytes = 344; SHAP=0.099791; supports predicted class.
- ct_dst_src_ltm = 1; SHAP=0.064431; supports predicted class.
- ct_dst_sport_ltm = 1; SHAP=0.040184; supports predicted class.

Risk and Policy
The predicted operational stage is Advanced Intrusion. The confidence-weighted risk score is 8.2054, corresponding to the Isolation policy zone.

Recommended Action
Isolate the affected asset and escalate to incident response.

Human Review
No mandatory confidence-based referral.

Limitations
This report describes the detector output and supplied evidence. It does not establish that the predicted class is ground truth.",825,110
